id,kind,acct,opened,symbol,setup,entry,target,strike,expiry,contracts,status,closed,exit,pl_pct,note
2026-09-03-NFLX-sh,shares,paper,2026-09-03,NFLX,E,82.67,126.71,,,,open,,,,paper
2026-09-03-IBM-sh,shares,paper,2026-09-03,IBM,E,234.71,332.46,,,,open,,,,paper
2026-09-03-AVGO-sh,shares,paper,2026-09-03,AVGO,E,357.16,495.00,,,,open,,,,paper
2026-09-03-WDAY-sh,shares,paper,2026-09-03,WDAY,D,206.92,249.85,,,,open,,,,paper
2026-09-03-MSFT-sh,shares,paper,2026-09-03,MSFT,D,510.12,553.72,,,,open,,,,paper
2026-09-08-BE-sh,shares,paper,2026-09-08,BE,F,277.22,351.28,,,,open,,,,"fires Setup C AND F. NOT in the tested universe, +386% on the year — untested situation"
2026-09-08-HOOD-sh,shares,paper,2026-09-08,HOOD,F,117.34,153.86,,,,open,,,,"matches the backtest profile: real pullback, +62% revenue"
2026-09-08-MU-sh,shares,paper,2026-09-08,MU,F,1000.26,1255.00,,,,open,,,,"+200% revenue. EARNINGS 2026-09-30, 22 days out"
2026-09-08-SHOP-sh,shares,paper,2026-09-08,SHOP,F,134.10,182.19,,,,open,,,,+46% revenue. Option already held in both option books
2026-09-04-DOCU-big,call,big,2026-09-04,DOCU,E,26.23,86.65,37.5,2027-01-15,1,open,,,,
2026-09-04-DOCU-small,call,small,2026-09-04,DOCU,E,4.88,86.65,65,2026-10-16,1,open,,,,
2026-09-04-WDAY-big,call,big,2026-09-04,WDAY,E,37.85,249.85,170,2026-12-18,1,open,,,,
2026-09-04-SHOP-big,call,big,2026-09-04,SHOP,E,27.93,182.19,120,2026-10-02,1,open,,,,
2026-09-10-PYPL-real,call,real,2026-09-10,PYPL,none,1.66,56.00,53,2026-09-25,2,closed,2026-09-11,1.91,15.1,"REAL. Bought $1.66, sold $1.91 Friday 09-11: under the 10 EMA, weekend theta, never passed a setup. +$50."
2026-09-11-QCOM-sh,shares,paper,2026-09-11,QCOM,C,183.57,259.92,,,,open,,,,"Setup C fired (cross+regime+breakout). Breadth 73% fails the <65% filter. VIX 15.7 CALM. Revenue only +4%, fails F. Chart signal only."
2026-09-14-BABA-real,call,real,2026-09-14,BABA,none,4.25,116.00,109,2026-10-02,1,open,,,,"REAL. 1x 109C 10/2 at $4.25. Fails the F trend filter (10<30, 50<200), 88% time value, 18 DTE. Plan: sell at $116 (30 EMA) or +100%; cut on a close under $107.72; out by 09-29 unless past $113.25."
2026-09-16-NOW,shares,paper,2026-09-16,NOW,F,141.26,194.73,,,,open,,,,"Setup F complete: 27.5% below high, revenue +29.4%, and the 50 EMA crossed the 200 TODAY (125.13 vs 124.96) after weeks in the halfway state. That cross is the 88%-win entry from halfway.md. The cross is thin — 0.17 points."
2026-09-16-NOW-call,call,small,2026-09-16,NOW,F,5.95,194.73,176,2026-12-18,1,open,,,,"The same signal bought the way Arrington prefers: $176C Dec-18 at $5.95, the only call under $600. 100% time value, needs +29.4%. Paired with the NOW share trade opened the same day so the two structures can be compared on one signal."
